"Key,""Tag ID"",""Client ID"",""Owner ID"",""SKU"",""Site ID"",""Location"",""Description"",""Pick Face"",""Pack Config"",""Origin"",""From Site ID"",""Full Pallet"",""Condition"",""To Site ID"",""Count Needed"",""Status"",""Location Zone"",""Expired"",""Lock Code"",""Qty On Hand"",""Disallow Allocation"",""Tracking Level"",""Qty Allocated"",""Notes"",""Batch ID"",""QC Status"",""Pallet Type"",""Pallet"",""container_id"",""Receipt ID"",""Line ID"",""Receive Date"",""Receive Time"",""Supplier"",""Move Date"",""Move Time"",""Sampling Type"",""Manufacture Date"",""Manufacture Time"",""Specification Code"",""Specification ID"",""Count Date"",""Count Time"",""Expiry Date"",""Expiry Time"",""Beam ID"",""Start Unit"",""End Unit"",""Inventory Created By"",""Pallet Volume"",""Pallet Height"",""Pallet Depth"",""Pallet Width"",""Pallet Weight"",""Entered Height"",""Breakpack Done"",""Pre-Received"",""Rotation ID"",""C&E Consignment ID"",""C&E Invoice Number"",""C&E Receipt Type"",""Originator"",""Originator Reference"",""UCR"",""Country of Originator"",""CWC"",""C&E Duty Stamp ?"",""Document Date"",""Document Time"",""Under Bond?"",""C&E Available Status"",""User Defined Type 1"",""User Defined Type 2"",""User Defined Type 3"",""User Defined Type 4"",""User Defined Type 5"",""User Defined Type 6"",""User Defined Type 7"",""User Defined Type 8"",""User Defined Check 1"",""User Defined Check 2"",""User Defined Check 3"",""User Defined Check 4"",""User Defined Date 1"",""User Defined Time 1"",""User Defined Date 2"",""User Defined Time 2"",""User Defined Date 3"",""User Defined Time 3"",""User Defined Date 4"",""User Defined Time 4"",""User Defined Num 1"",""User Defined Num 2"",""User Defined Num 3"",""User Defined Num 4"",""User Defined Note 1"",""User Defined Note 2"","
"key,""tag_id"",""client_id"",""owner_id"",""sku_id"",""site_id"",""location_id"",""description"",""pick_face"",""config_id"",""origin_id"",""from_site_id"",""full_pallet"",""condition_id"",""to_site_id"",""count_needed"",""lock_status"",""zone_1"",""expired"",""lock_code"",""qty_on_hand"",""disallow_alloc"",""tracking_level"",""qty_allocated"",""notes"",""batch_id"",""qc_status"",""pallet_config"",""pallet_id"",""container_id"",""receipt_id"",""line_id"",""receipt_dstamp"",""receipt_time"",""supplier_id"",""move_dstamp"",""move_time"",""sampling_type"",""manuf_dstamp"",""manuf_time"",""spec_code"",""spec_id"",""count_dstamp"",""count_time"",""expiry_dstamp"",""expiry_time"",""beam_id"",""beam_start_unit"",""beam_end_unit"",""created_inventory"",""pallet_volume"",""pallet_height"",""pallet_depth"",""pallet_width"",""pallet_weight"",""entered_height"",""breakpack_done"",""pre_received"",""ce_rotation_id"",""ce_consignment_id"",""ce_invoice_number"",""ce_receipt_type"",""ce_originator"",""ce_originator_reference"",""ce_ucr"",""ce_coo"",""ce_cwc"",""ce_duty_stamp"",""ce_document_dstamp"",""document_time"",""ce_under_bond"",""ce_avail_status"",""user_def_type_1"",""user_def_type_2"",""user_def_type_3"",""user_def_type_4"",""user_def_type_5"",""user_def_type_6"",""user_def_type_7"",""user_def_type_8"",""user_def_chk_1"",""user_def_chk_2"",""user_def_chk_3"",""user_def_chk_4"",""user_def_date_1"",""user_def_time_1"",""user_def_date_2"",""user_def_time_2"",""user_def_date_3"",""user_def_time_3"",""user_def_date_4"",""user_def_time_4"",""user_def_num_1"",""user_def_num_2"",""user_def_num_3"",""user_def_num_4"",""user_def_note_1"",""user_def_note_2"","
"648087126,""RE181125956C"",""BRHARLD"",""BRHARLD"",""62700296A"",""BRCJM01"",""RECDOCK46"",""FILTRO DE OLEO PARA MOTOR DE I"","""",""62700296A"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""44"",""N"",""EACH"",""0"",""HARLEY-DAVIDSON MOTOR COMPANY"","""","""",""PBR"","""","""",""000020915"",""3"",""18/11/2025"",""10:04:19"",""0"",""18/11/2025"",""10:04:19"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""",""4392"",""210829"","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""1378"","""","""","""","""","""","
"648493331,""RE181125849C"",""BRALGAR"",""TELECOM"",""910025393"",""BRCJM01"",""RECDOCK46"",""CHIP POS TRIO 16 4G ALGAR IOT WL HSIM"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""50000"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""565612"",""1"",""19/11/2025"",""07:52:16"",""0"",""19/11/2025"",""07:52:16"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""1"",""50000"","""","""","""","""","
"648500944,""RE181125845C"",""BRALGAR"",""TELECOM"",""910020174"",""BRCJM01"",""RECDOCK46"",""CABO OPT CFOA SM 144F DD G"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1228"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""565078"",""1"",""19/11/2025"",""09:12:15"",""0"",""19/11/2025"",""09:12:15"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""8.08"",""9922.24"","""","""","""","""","
"649081850,""RE131125116C"",""BRALGAR"",""VOGEL"",""910003162"",""BRCJM01"",""RECDOCK46"",""KIT RACK MONT EX2300-C JUNIPER RMK"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""418"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356025"",""1"",""20/11/2025"",""10:40:19"",""0"",""20/11/2025"",""10:40:19"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"650901416,""RE1811251709C"",""BRALGAR"",""VOGEL"",""910020589"",""BRCJM01"",""RECDOCK46"",""HUAWEI N63B ETSI RACK 2200X600X300MM"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356487"",""1"",""24/11/2025"",""06:50:52"",""0"",""24/11/2025"",""06:50:52"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""739.96"",""2219.88"","""","""","""","""","
"650901422,""RE1811251710C"",""BRALGAR"",""VOGEL"",""910020589"",""BRCJM01"",""RECDOCK46"",""HUAWEI N63B ETSI RACK 2200X600X300MM"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356487"",""1"",""24/11/2025"",""06:51:49"",""0"",""24/11/2025"",""06:51:49"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""739.96"",""2219.88"","""","""","""","""","
"650901428,""RE1811251711C"",""BRALGAR"",""VOGEL"",""910020589"",""BRCJM01"",""RECDOCK46"",""HUAWEI N63B ETSI RACK 2200X600X300MM"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356487"",""1"",""24/11/2025"",""06:52:35"",""0"",""24/11/2025"",""06:52:35"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""739.96"",""2219.88"","""","""","""","""","
"650902193,""RE1811251725C"",""BRALGAR"",""VOGEL"",""910021061"",""BRCJM01"",""RECDOCK46"",""RACK 44U X 600MM 19 PT ACR COR RAL 7032"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356563"",""1"",""24/11/2025"",""07:34:35"",""0"",""24/11/2025"",""07:34:36"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""1711.87"",""3423.74"","""","""","""","""","
"650902201,""RE1811251724C"",""BRALGAR"",""VOGEL"",""910021061"",""BRCJM01"",""RECDOCK46"",""RACK 44U X 600MM 19 PT ACR COR RAL 7032"","""",""999-ALGAR"","""","""",""N"",""OK1"","""","""",""UnLocked"",""RECDOCK"","""","""",""1"",""N"",""EACH"",""0"","""","""","""",""PBR"","""","""",""356563"",""1"",""24/11/2025"",""07:35:02"",""0"",""24/11/2025"",""07:35:02"","""","""","""","""","""","""","""","""","""","""","""","""",""R"","""","""","""","""","""","""","""","""",""XX/D00000001"","""","""",""NB"","""","""","""","""","""",""N"","""","""",""N"","""","""","""","""","""","""","""","""","""",""N"",""N"",""N"",""N"","""","""","""","""","""","""","""","""",""1711.87"",""3423.74"","""","""","""","""","
